date,total,collected
2026-06-22,8646,8646
2026-06-23,8550,8549
2026-06-24,8164,8164
2026-06-25,8165,8165
2026-06-26,8313,8313
2026-06-27,8299,8299
2026-06-28,8300,8300
2026-06-29,8312,8312
2026-06-30,8306,8306
2026-07-01,8304,8303
2026-07-02,8250,8253
2026-07-03,9189,9189
2026-07-04,9234,9234
2026-07-05,9250,9250
2026-07-06,9242,9242
2026-07-07,9213,9213
2026-07-08,9176,9176
2026-07-09,9174,9174
2026-07-10,9140,9140
2026-07-11,9145,9145
2026-07-12,9231,9231
2026-07-13,9228,9228
2026-07-14,9169,9169
2026-07-15,9100,9100
2026-07-16,9099,9099
2026-07-17,9097,9097
